,burn_val,speed,channel
0,25,1,0
1,25,2,0
2,25,3,0
3,25,4,0
4,25,5,0
5,25,6,0
6,25,7,0
7,25,8,0
8,25,9,0
9,25,10,0
10,50,11,1
11,50,12,1
12,50,13,1
13,50,14,1
14,50,15,1
15,75,16,2
16,75,17,2
17,75,18,2
18,100,19,3
19,100,20,3
20,125,21,4
21,125,22,4
22,125,23,4
23,125,24,4
24,125,25,4
25,150,26,5
26,150,27,5
27,150,28,5
28,150,29,5
29,150,30,5
30,175,31,6
31,175,32,6
32,175,33,6
33,175,34,6
34,175,35,6
35,200,36,7
36,200,37,7
37,200,38,7
38,200,39,7
39,200,40,7
40,200,41,7
41,200,42,7
42,200,43,7
43,200,44,7
44,200,45,7
45,225,46,8
46,225,47,8
47,225,48,8
48,225,49,8
49,225,50,8
50,225,51,8
51,225,52,8
52,225,53,8
53,225,54,8
54,225,55,8
55,250,56,9
56,250,57,9
57,250,58,9
58,250,59,9
59,250,60,9
60,250,61,9
61,250,62,9
62,250,63,9
63,250,64,9
64,250,65,9
